"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","ERI","Eritrea","2001","2001",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","ERI","Eritrea","2002","2002",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","ERI","Eritrea","2004","2004",,"a","Category not applicable"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2000","2000",0.01356,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2001","2001",0.01451,"‡","UIS Estimation"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2002","2002",0.36221,"‡","UIS Estimation"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2003","2003",0.03,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2005","2005",0.03171,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2006","2006",0.03238,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2008","2008",0.0259,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2014","2014",0.03885,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","NAM","Namibia","2016","2016",0.0397,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2002","2002",0.01715,"‡","UIS Estimation"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2008","2008",,"n","Magnitude nil or negligible"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2011","2011",0.35987,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2012","2012",0.35975,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2013","2013",0.30747,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2014","2014",0.35642,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","COM","Comoros","2015","2015",0.30731,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2002","2002",0.13476,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2005","2005",0.08417,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2006","2006",0.08508,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2007","2007",0.05762,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2008","2008",0.068,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2009","2009",0.06471,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2011","2011",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2013","2013",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2014","2014",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2015","2015",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","CPV","Cabo Verde","2016","2016",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2006","2006",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2007","2007",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2008","2008",,"n","Magnitude nil or negligible"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2012","2012",0.00582,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2013","2013",0.0108,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2014","2014",0.01497,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NER","Niger","2015","2015",0.05317,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2005","2005",0.04435,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2006","2006",0.03341,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2009","2009",0.06816,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2010","2010",0.07216,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2011","2011",0.09169,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2012","2012",0.15894,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2013","2013",0.21473,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2014","2014",0.21423,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2015","2015",0.28205,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2016","2016",0.02989,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2001","2001",0.04572,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2002","2002",0.0448,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2003","2003",0.06714,"‡","UIS Estimation"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2004","2004",0.06389,"‡","UIS Estimation"
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2005","2005",0.06264,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2006","2006",0.04802,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2008","2008",0.04157,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2009","2009",0.04556,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2010","2010",0.04907,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2011","2011",0.04757,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2012","2012",0.05404,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2013","2013",0.06098,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2015","2015",0.05758,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2016","2016",0.06175,,
