countries_row	years_column	value
1	1	100
2	1	100
3	1	100
4	1	100
5	1	100
6	1	100
7	1	100
8	1	100
9	1	99.99992371
10	1	99.99763489
11	1	99.98339844
12	1	99.94024658
13	1	99.85875702
14	1	99.7486496
15	1	99.62893677
16	1	99.51343536
17	1	99.40956116
18	1	99.8
19	1	99.25408936
20	1	99.20565796
21	1	99.17564392
22	1	99
23	1	99.16220093
24	1	99.16244507
25	1	99.17205811
26	1	99
27	1	99.20280457
1	2	98.27137756
2	2	98.37776947
3	2	98.48365784
4	2	98.58647919
5	2	98.68318939
6	2	98.77071381
7	2	98.8460083
8	2	98.90600586
9	2	98.94764709
10	2	98.96788025
11	2	98.96515656
12	2	98.94402313
13	2	98.91053772
14	2	98.87077332
15	2	98.83078766
16	2	98.79664612
17	2	98.77441406
18	2	98.7701416
19	2	99.3
20	2	98.82767487
21	2	98.88497162
22	2	98.95729828
23	2	98.76466047
24	2	99.13498688
25	2	99.23434448
26	2	99.33670807
27	2	99.43956757
1	3	11.39780807
2	3	12.57937908
3	3	13.76043987
4	3	14.93844128
5	3	16.11032486
6	3	17.27303123
7	3	18.42350197
8	3	19.55867577
9	3	20.67549515
10	3	21.77090073
11	3	22.84335518
12	3	20
13	3	24.93909454
14	3	25.97450829
15	3	27.00970078
16	3	28.05073547
17	3	29.10367584
18	3	37.5
19	3	31.268013
20	3	32.38246918
21	3	33.5149498
22	3	34.6
23	3	35.82196426
24	3	36.99048996
25	3	32
26	3	42
27	3	40.52060699
1	4	7.311272144
2	4	8.683940887
3	4	10.05609989
4	4	11.42519951
5	4	12.78818035
6	4	14.14198494
7	4	14.5
8	4	16.80982399
9	4	18.11774254
10	4	19.40424538
11	4	20.66779709
12	4	21.9
13	4	23.14573288
14	4	24.37224388
15	4	25.59853554
16	4	26.8306675
17	4	27.9
18	4	29.33671188
19	4	30.62123871
20	4	31.92679214
21	4	34.2
22	4	36.9
23	4	38.4
24	4	37.29920578
25	4	34.1
26	4	40.03347778
27	4	41.40261459
1	5	6.043880463
2	5	10.1
3	5	10.36972141
4	5	12.52932739
5	5	14.68281555
6	5	16.82712746
7	5	18.95920181
8	5	21.07597923
9	5	23.17440414
10	5	25.25141525
11	5	27.30547333
12	5	24.8
13	5	31.36442184
14	5	33.38143921
15	5	35.39823532
16	5	37.42087555
17	5	39.45542145
18	5	41.50793457
19	5	43.1
20	5	45.67902756
21	5	47.79311371
22	5	53.24
23	5	52.06333923
24	5	54.21347046
25	5	56.36960983
26	5	58.52875137
27	5	60.68839645
1	6	2.610557318
2	6	3.308718681
3	6	4.006370068
4	6	6.1
5	6	5.389437199
6	6	6.068734169
7	6	6.735794544
8	6	7.387559414
9	6	8.020970345
10	6	6.9
11	6	9.222010612
12	6	9.792644501
13	6	10.35093212
14	6	11.4
15	6	11.45471954
16	6	12.01234436
17	6	12.5818758
18	6	13.16937447
19	6	13.77939415
20	6	14.4104414
21	6	13.1
22	6	15.72360229
23	6	16.39970779
24	6	17.08482742
25	6	19.2
26	6	18.47008133
27	6	19.16471291
1	7	0.348627061
2	7	0.688546002
3	7	1.027955055
4	7	1.364305139
5	7	1.694536924
6	7	2.015591383
7	7	2.324409485
8	7	2.617931843
9	7	3.9
10	7	3.146853924
11	7	3.377655506
12	7	3.590047359
13	7	3.79009223
14	7	3.983853579
15	7	4.17739439
16	7	3.207317073
17	7	4.588065624
18	7	4.817322254
19	7	4.8
20	7	5.341904163
21	7	5.3
22	7	5.938580036
23	7	6.5
24	7	6.583319187
25	7	7
26	7	7.2520895
27	7	7.588477135
1	8	30.12971687
2	8	29
3	8	32.55559921
4	8	33.76522446
5	8	34.96873474
6	8	36.16306686
7	8	37.34516144
8	8	38.51195908
9	8	40.7
10	8	40.78743744
11	8	41
12	8	46.2
13	8	44.05050659
14	8	45.11754227
15	8	47.1
16	8	47.25702286
17	8	49
18	8	48.2
19	8	50.56917572
20	8	51.71525574
21	8	52.8793602
22	8	53.7
23	8	55.24962616
24	8	56.44977951
25	8	56.8
26	8	58.86510086
27	8	60.07476807
1	9	32.55810165
2	9	34.92931366
3	9	37.3000145
4	9	39.66765976
5	9	42.02918625
6	9	44.38153458
7	9	46.72164536
8	9	49.04646301
9	9	51.35292435
10	9	53.63796997
11	9	55.90006638
12	9	58.14375305
13	9	58.6
14	9	62.60014725
15	9	64.82498169
16	9	67
17	9	69.29824066
18	9	71.55879211
19	9	73.84185791
20	9	76.14595795
21	9	81.1
22	9	80.80522156
23	9	83.1543808
24	9	85.51255035
25	9	87.87672424
26	9	90.24390411
27	9	92.61158752
1	10	0.01
2	10	0.53883028
3	10	1.081371188
4	10	1.682021976
5	10	2.276554585
6	10	3
7	10	3.435028553
8	10	3.992851973
9	10	4.532320499
10	10	5.050375462
11	10	6
12	10	6.022170544
13	10	6.486515999
14	10	6.944578171
15	10	7.402419567
16	10	7.866103649
17	10	7.805169325
18	10	8.835249901
19	10	9.351327896
20	10	9.888433456
21	10	9.8
22	10	11.01371098
23	10	11.59587574
24	10	12.18705177
25	10	12.78423595
26	10	13.38442326
27	10	13.98511219
1	11	0.01
2	11	0.030787271
3	11	0.108397804
4	11	0.297480613
5	11	0.575130105
6	11	1.003540397
7	11	1.419714212
8	11	2.3
9	11	2.203116179
10	11	2.564226151
11	11	2.902383566
12	11	3.222131252
13	11	3.529532194
14	11	3.830649137
15	11	3.5
16	11	4.438284397
17	11	4.756928444
18	11	5.093541145
19	11	5.452673912
20	11	5.832834721
21	11	6.4
22	11	6.64422226
23	11	7.069441795
24	11	7.503673077
25	11	7.943912029
26	11	7.7
27	11	8.830898285
1	12	15.2995491
2	12	17.76657677
3	12	20.23309326
4	12	22.69655228
5	12	25.15389252
6	12	27.6020546
7	12	28.9
8	12	32.45861053
9	12	34.86088562
10	12	37.24174881
11	12	39.59965897
12	12	41.93915939
13	12	44.8
14	12	46.58718109
15	12	48.9078331
16	12	51.23432159
17	12	53.57271957
18	12	55.92908478
19	12	58.30796814
20	12	60.70788193
21	12	63.12582016
22	12	65.55877686
23	12	69.3
24	12	70.45773315
25	12	72.91772461
26	12	75.38071442
27	12	77.84421539
1	13	0.01
2	13	0.582454681
3	13	1.183003187
4	13	1.911180377
5	13	2.633239269
6	13	3.346121073
7	13	4.046766281
8	13	4.732116222
9	13	5.399111271
10	13	6.044692516
11	13	6.7
12	13	7.271540165
13	13	7.86341238
14	13	8.449001312
15	13	9.034368515
16	13	6
17	13	10.22869492
18	13	15.2
19	13	11.49338341
20	13	12.15801525
21	13	12.84067059
22	13	13.53834534
23	13	15.4
24	13	14.9667387
25	13	13.5
26	13	16.41916466
27	13	17.14737892
1	14	0.01
2	14	0.834693372
3	14	1.627603769
4	14	3.979705572
5	14	6.325689316
6	14	8.662495613
7	14	10.98706532
8	14	13.29633999
9	14	15.58725929
10	14	17.85676575
11	14	20.10331917
12	14	22.33146286
13	14	24.54726028
14	14	26.75677299
15	14	28.96606445
16	14	33.8
17	14	33.40824127
18	14	35.65324783
19	14	37.92077637
20	14	37.1
21	14	42.51591492
22	14	44.83751297
23	14	41.6
24	14	49.5137558
25	14	51.86239243
26	14	60.4
27	14	56.56616974
1	15	37.66371155
2	15	38.7843895
3	15	39.90456009
4	15	41.0216713
5	15	36.5
6	15	43.23448181
7	15	44.32405853
8	15	45.39834213
9	15	46.45426941
10	15	48.2
11	15	48.50034714
12	15	49.49349976
13	15	51.4
14	15	51.44882965
15	15	52.42313004
16	15	58.9
17	15	60.17105263
18	15	55.4053421
19	15	56.43788147
20	15	57.49144363
21	15	58.56303406
22	15	59.64964294
23	15	55.8
24	15	61.85590363
25	15	61.9
26	15	64.0861969
27	15	64.3
1	16	59.60907745
2	16	59.36952591
3	16	59.1294632
4	16	58.88634491
5	16	58.63710403
6	16	58.37868881
7	16	62
8	16	57.82208633
9	16	57.51778412
10	16	57.19207001
11	16	56.84339905
12	16	56.47632217
13	16	49.7
14	16	55.71118546
15	16	55.32525635
16	16	54.94516754
17	16	55.5
18	16	54.22677231
19	16	53.89907837
20	16	53.59241486
21	16	53.30377197
22	16	53.03014755
23	16	54.6
24	16	52.51594543
25	16	52.26935959
26	16	52.02577591
27	16	51.78269196
1	17	93.95646667
2	17	94.31864929
3	17	93.4
4	17	95.03894043
5	17	95.39144135
6	17	95.5
7	17	96.0658493
8	17	96.38163757
9	17	96.67906952
10	17	96.95509338
11	17	97.7
12	17	97.44282532
13	17	97.66513062
